Area,People Vaccinated with at least One Dose,People Fully Vaccinated
Alachua County,"209,882","183,124"
Baker County,"13,186","10,860"
Bay County,"112,568","95,195"
Bradford County,"15,270","13,148"
Brevard County,"467,846","398,579"
Broward County,"1,700,479","1,422,584"
Calhoun County,"5,942","4,982"
Charlotte County,"152,195","126,481"
Citrus County,"97,663","85,911"
Clay County,"144,588","121,423"
Collier County,"325,775","277,165"
Columbia County,"35,821","30,719"
DeSoto County,"22,802","18,356"
Dixie County,"7,507","5,914"
Duval County,"693,020","597,589"
Escambia County,"214,204","181,343"
Flagler County,"85,624","74,805"
Franklin County,"6,683","5,960"
Gadsden County,"30,661","27,045"
Gilchrist County,"8,035","6,943"
Glades County,"5,778","4,776"
Gulf County,"8,304","7,294"
Hamilton County,"6,075","5,154"
Hardee County,"13,630","11,771"
Hendry County,"26,595","21,491"
Hernando County,"122,580","108,720"
Highlands County,"70,076","56,915"
Hillsborough County,"1,125,749","950,357"
Holmes County,"7,103","5,909"
Indian River County,"130,709","110,044"
Jackson County,"24,493","20,567"
Jefferson County,"10,343","8,625"
Lafayette County,"3,790","3,381"
Lake County,"283,274","247,441"
Lee County,"572,151","489,955"
Leon County,"196,845","170,731"
Levy County,"23,269","19,956"
Liberty County,"3,288","2,887"
Madison County,"10,403","8,698"
Manatee County,"296,456","255,557"
Marion County,"240,426","212,354"
Martin County,"121,207","104,630"
Miami-Dade County,"2,954,004","2,366,244"
Monroe County,"71,737","59,458"
Nassau County,"60,300","52,418"
Okaloosa County,"165,442","138,180"
Okeechobee County,"23,405","19,971"
Orange County,"1,188,843","990,816"
Osceola County,"345,693","281,574"
Palm Beach County,"1,179,240","1,015,433"
Pasco County,"384,161","334,610"
Pinellas County,"736,106","644,706"
Polk County,"494,390","425,614"
Putnam County,"37,730","31,960"
St. Johns County,"211,916","189,969"
St. Lucie County,"227,832","196,513"
Santa Rosa County,"122,919","101,978"
Sarasota County,"366,299","310,449"
Seminole County,"332,970","298,835"
Sumter County,"122,215","108,762"
Suwannee County,"20,519","17,383"
Taylor County,"10,594","8,855"
Union County,"7,939","5,573"
Volusia County,"384,169","336,678"
Wakulla County,"18,468","15,431"
Walton County,"44,719","37,340"
Washington County,"10,214","8,441"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,